"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Tyson Bagent","CHI","23.1","15.1","169.9","1.0","0.2","2.8","8.7","0.0","0.1","11.5"
"","high","26.0","17.0","195.0","1.0","0.0","5.0","14.0","0.1","0.0","12.4"
"","low","21.0","14.0","156.6","1.0","0.6","1.5","6.0","0.0","0.2","8.0"
"Tyrod Taylor","GB","23.0","14.6","166.0","1.0","0.5","3.1","14.1","0.0","0.1","11.4"
"","high","30.0","18.0","211.0","1.0","0.0","5.0","21.0","0.1","0.0","13.3"
"","low","19.0","12.7","136.1","0.9","1.0","2.0","9.0","0.0","0.2","9.0"
"Jarrett Stidham","DEN","23.1","14.4","152.7","1.1","0.3","3.3","12.9","0.0","0.1","11.3"
"","high","24.0","15.0","161.4","1.1","0.0","5.0","19.0","0.1","0.0","10.4"
"","low","22.2","13.8","144.0","1.0","0.6","1.7","6.8","0.0","0.2","9.0"
"Davis Mills","HOU","26.2","16.0","175.8","0.9","0.5","2.7","9.0","0.0","0.1","11.1"
"","high","32.0","20.0","221.0","1.0","0.0","5.0","19.0","0.0","0.0","13.2"
"","low","23.0","14.0","146.5","0.8","1.0","1.0","3.9","0.0","0.1","8.4"
"Joshua Dobbs","DET","21.7","14.8","156.5","1.0","0.3","3.3","7.9","0.1","0.1","10.7"
"","high","22.0","16.0","180.0","1.0","0.0","5.0","9.0","0.1","0.0","8.7"
"","low","21.3","13.5","133.1","0.9","0.6","1.5","6.8","0.0","0.2","8.0"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"","high","19.5","12.6","133.0","1.0","0.0","5.0","28.0","0.1","0.0","9.0"
"","low","17.0","11.0","128.6","0.9","0.5","2.0","9.5","0.0","0.1","8.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"","high","23.0","15.0","168.0","1.0","0.0","5.0","18.0","0.0","0.0","11.2"
"","low","22.0","14.7","145.6","0.9","1.0","1.0","2.2","0.0","0.1","7.0"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","12.9","0.0","0.1","10.4"
"","high","22.4","14.0","149.0","1.0","0.6","5.0","19.0","0.1","0.0","9.4"
"","low","22.0","13.2","147.5","1.0","1.0","1.5","6.8","0.0","0.1","7.0"
"Anthony Richardson Sr.","IND","16.0","10.0","110.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"","high","16.0","10.0","110.0","1.0","0.0","5.0","20.0","0.0","0.0","8.0"
"","low","16.0","10.0","110.0","1.0","0.0","5.0","20.0","0.0","0.0","8.0"
"Tanner McKee","PHI","20.3","12.8","141.0","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"","high","21.7","13.7","153.0","1.0","0.0","5.0","16.0","0.0","0.0","9.5"
"","low","19.0","12.0","129.0","1.0","0.5","1.0","3.7","0.0","0.1","8.0"
"Joe Flacco","CIN","24.9","16.1","169.4","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"","high","25.0","17.0","174.0","1.3","0.7","4.0","16.0","0.0","0.2","10.5"
"","low","24.8","15.3","164.8","1.0","1.0","0.4","1.2","0.0","1.0","4.0"
"Kenny Pickett","CAR","22.8","14.4","157.8","1.0","0.8","2.8","10.6","0.0","0.1","10.3"
"","high","25.0","16.0","185.0","1.0","0.5","4.0","22.0","0.0","0.0","12.0"
"","low","21.0","13.0","135.0","0.9","1.0","1.3","3.7","0.0","0.2","7.0"
"Jalon Daniels","TB","19.7","12.8","140.1","1.0","0.2","1.6","7.8","0.0","0.1","10.3"
"","high","22.3","14.5","160.2","1.0","0.0","2.0","10.0","0.1","0.0","10.5"
"","low","17.0","11.0","120.0","1.0","0.5","1.3","5.5","0.0","0.2","8.0"
"Spencer Rattler","NO","22.9","14.9","156.7","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"","high","23.0","15.0","160.0","1.0","0.5","4.0","17.0","0.0","0.0","9.0"
"","low","22.8","14.9","153.4","0.8","1.0","1.3","7.1","0.0","0.2","7.0"
"Sam Howell","DAL","21.9","13.8","144.3","1.0","0.7","1.3","6.9","0.1","0.1","10.1"
"","high","21.9","13.8","144.3","1.0","0.7","1.3","6.9","0.1","0.1","9.5"
"","low","21.9","13.8","144.3","1.0","0.7","1.3","6.9","0.1","0.1","9.5"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"","high","21.2","13.0","159.0","1.0","0.6","5.0","21.0","0.1","0.0","8.0"
"","low","20.0","12.9","134.3","0.8","1.0","1.2","5.2","0.0","0.2","7.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"","high","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","7.0"
"","low","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","7.0"
"Drew Allar","PIT","23.0","14.9","160.2","0.9","0.5","1.3","5.7","0.1","0.2","9.9"
"","high","23.0","14.9","160.2","0.9","0.5","1.3","5.7","0.1","0.2","9.5"
"","low","23.0","14.9","160.2","0.9","0.5","1.3","5.7","0.1","0.2","9.5"
