"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Xavier Hutchinson","HOU","38.7","470.4","2.5","2.1","14.2","0.0","0.2","82.8"
"","high","43.0","509.0","3.0","2.1","16.0","0.1","0.0","78.3"
"","low","34.4","431.7","2.0","2.0","12.4","0.0","0.3","76.1"
"Dontayvion Wicks","PHI","38.7","458.2","3.0","0.5","2.5","0.0","0.2","82.7"
"","high","39.5","517.5","3.0","1.0","5.0","0.0","0.0","88.0"
"","low","38.0","399.0","2.9","0.0","0.0","0.0","0.4","69.4"
"Tyquan Thornton","KC","25.4","466.5","3.5","0.0","0.0","0.0","0.1","80.0"
"","high","27.0","574.0","4.0","0.0","0.0","0.0","0.0","85.7"
"","low","23.8","358.9","3.0","0.0","0.0","0.0","0.2","66.2"
"Tory Horton","SEA","30.3","400.5","4.2","0.5","3.0","0.0","0.6","79.2"
"","high","39.0","502.0","6.0","1.0","6.0","0.0","0.2","90.2"
"","low","21.6","298.9","2.3","0.0","0.0","0.0","1.0","59.0"
"Darius Slayton","NYG","35.1","502.5","1.9","1.6","8.6","0.0","0.7","79.0"
"","high","42.0","612.0","2.0","2.2","12.3","0.1","0.3","80.5"
"","low","28.2","393.0","1.8","1.0","5.0","0.0","1.0","68.9"
"Troy Franklin","DEN","36.5","402.6","3.4","3.0","10.8","0.0","0.6","79.0"
"","high","56.0","589.0","5.0","4.0","11.0","0.1","0.2","96.2"
"","low","17.0","216.2","1.8","2.1","10.6","0.0","1.0","52.0"
"Xavier Legette","CAR","35.7","416.9","2.6","2.1","10.9","0.1","0.4","75.8"
"","high","35.7","416.9","2.6","2.1","10.9","0.1","0.4","76.2"
"","low","35.7","416.9","2.6","2.1","10.9","0.1","0.4","76.2"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","74.9"
"","high","35.2","443.3","2.3","0.0","0.0","0.0","0.3","75.2"
"","low","35.2","443.3","2.3","0.0","0.0","0.0","0.3","75.2"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.5"
"","high","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.6"
"","low","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.6"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"","high","27.0","404.0","5.0","0.0","0.0","0.0","0.0","74.7"
"","low","23.8","300.9","3.2","0.0","0.0","0.0","0.2","61.8"
"Ryan Flournoy","DAL","33.8","382.9","2.7","2.2","12.4","0.1","0.4","72.3"
"","high","33.8","382.9","2.7","2.2","12.4","0.1","0.4","72.4"
"","low","33.8","382.9","2.7","2.2","12.4","0.1","0.4","72.4"
"Bryce Lance","NO","34.1","451.4","1.9","1.0","5.0","0.0","1.1","72.2"
"","high","53.0","710.0","3.0","2.0","10.0","0.0","0.2","94.0"
"","low","15.1","192.8","0.9","0.0","0.0","0.0","2.0","41.4"
"Jalen Tolbert","MIA","35.4","442.7","1.7","0.0","0.0","0.0","0.3","71.7"
"","high","35.4","442.7","1.7","0.0","0.0","0.0","0.3","71.9"
"","low","35.4","442.7","1.7","0.0","0.0","0.0","0.3","71.9"
"Andrei Iosivas","CIN","29.5","373.0","2.7","2.5","11.0","0.0","0.1","69.6"
"","high","35.0","470.0","3.0","3.0","11.1","0.1","0.0","70.7"
"","low","23.9","276.1","2.5","2.0","11.0","0.0","0.2","58.6"
"Malachi Fields","NYG","32.5","405.4","2.2","0.0","0.0","0.0","0.3","69.2"
"","high","32.5","405.4","2.2","0.0","0.0","0.0","0.3","69.5"
"","low","32.5","405.4","2.2","0.0","0.0","0.0","0.3","69.5"
"Ted Hurst III","TB","28.9","389.8","2.6","1.0","6.5","0.0","0.6","68.2"
"","high","35.0","485.0","3.0","2.0","13.0","0.0","0.2","69.4"
"","low","22.8","294.5","2.1","0.0","0.0","0.0","1.0","56.6"
"Hollywood Brown","PHI","28.2","349.3","3.0","0.0","0.0","0.0","0.1","67.0"
"","high","44.0","545.0","5.0","0.0","0.0","0.0","0.0","91.1"
"","low","12.4","153.7","1.0","0.0","0.0","0.0","0.1","35.4"
"Malik Benson","LV","33.2","396.7","1.9","1.0","4.0","0.0","0.6","66.8"
"","high","47.0","549.0","3.0","2.0","8.0","0.0","0.2","79.6"
"","low","19.4","244.4","0.8","0.0","0.0","0.0","1.0","45.5"
"Elic Ayomanor","TEN","25.4","342.7","3.3","0.0","0.0","0.0","0.0","66.7"
"","high","42.0","570.0","6.0","0.0","0.0","0.0","0.0","97.7"
"","low","8.8","115.5","0.6","0.0","0.0","0.0","0.1","27.8"
"DeMario Douglas","NE","30.2","365.6","2.0","4.1","21.5","0.2","0.4","66.3"
"","high","30.2","365.6","2.0","4.1","21.5","0.2","0.4","66.4"
"","low","30.2","365.6","2.0","4.1","21.5","0.2","0.4","66.4"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.6","0.3","0.6","65.3"
"","high","45.0","431.0","6.0","10.1","50.3","0.6","0.2","83.9"
"","low","10.6","112.2","0.8","10.0","17.0","0.0","1.0","42.9"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","64.6"
"","high","31.4","381.7","1.9","0.0","0.0","0.0","0.3","66.8"
"","low","31.4","381.7","1.9","0.0","0.0","0.0","0.3","66.8"
"Keon Coleman","BUF","24.4","337.9","2.8","0.0","0.0","0.0","0.2","62.5"
"","high","24.4","337.9","2.8","0.0","0.0","0.0","0.2","63.3"
"","low","24.4","337.9","2.8","0.0","0.0","0.0","0.2","63.3"
"Tank Dell","HOU","25.0","319.0","2.0","6.0","26.5","0.0","0.0","59.1"
"","high","50.0","638.0","4.0","12.0","53.0","0.0","0.0","93.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.5"
"Joshua Palmer","BUF","26.9","355.2","1.7","0.0","0.0","0.0","0.1","59.0"
"","high","35.0","479.0","2.0","0.0","0.0","0.0","0.0","64.5"
"","low","18.9","231.3","1.4","0.0","0.0","0.0","0.2","44.9"
"Pat Bryant","DEN","28.4","320.2","2.1","0.0","0.0","0.0","0.3","58.3"
"","high","28.4","320.2","2.1","0.0","0.0","0.0","0.3","58.6"
"","low","28.4","320.2","2.1","0.0","0.0","0.0","0.3","58.6"
"Christian Kirk","SF","27.5","315.5","2.0","0.0","0.0","0.0","0.0","57.3"
"","high","55.0","631.0","4.0","0.0","0.0","0.0","0.0","92.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.8"
"Ashton Dulin","IND","17.5","338.2","1.3","5.1","46.2","0.1","0.1","55.3"
"","high","25.0","551.0","2.0","6.0","66.0","0.2","0.0","69.7"
"","low","10.0","125.3","0.6","4.2","26.3","0.0","0.1","29.9"
"Marvin Mims Jr.","DEN","24.1","272.9","1.6","8.2","45.1","0.3","0.4","54.7"
"","high","24.1","272.9","1.6","8.2","45.1","0.3","0.4","58.0"
"","low","24.1","272.9","1.6","8.2","45.1","0.3","0.4","58.0"
"KaVontae Turpin","DAL","18.1","229.4","1.7","17.8","103.0","0.4","0.4","54.5"
"","high","18.1","229.4","1.7","17.8","103.0","0.4","0.4","57.9"
"","low","18.1","229.4","1.7","17.8","103.0","0.4","0.4","57.9"
"Kevin Coleman Jr.","MIA","27.1","352.4","0.9","0.0","0.0","0.0","0.3","53.4"
"","high","27.1","352.4","0.9","0.0","0.0","0.0","0.3","53.5"
"","low","27.1","352.4","0.9","0.0","0.0","0.0","0.3","53.5"
"Zavion Thomas","CHI","23.3","305.0","2.1","1.5","6.5","0.0","1.1","53.3"
"","high","34.0","456.0","3.0","3.0","13.0","0.0","0.1","61.7"
"","low","12.6","154.1","1.2","0.0","0.0","0.0","2.0","35.4"
"Darnell Mooney","NYG","21.5","308.3","1.7","2.2","11.9","0.1","0.2","52.8"
"","high","21.5","308.3","1.7","2.2","11.9","0.1","0.2","52.9"
"","low","21.5","308.3","1.7","2.2","11.9","0.1","0.2","52.9"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","51.9"
"","high","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.1"
"","low","27.7","315.0","1.2","0.0","0.0","0.0","0.3","52.1"
"Jahdae Walker","CHI","17.6","232.8","2.7","0.5","3.5","0.0","0.0","48.4"
"","high","32.0","430.0","5.0","1.0","7.0","0.0","0.0","73.8"
"","low","3.2","35.7","0.3","0.0","0.0","0.0","0.0","14.3"
