"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","14.2","59.5","0.4","2.0","21.0","0.0","0.1","13.6"
"Tahj Brooks","CIN","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.2"
"","high","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.4"
"","low","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.4"
"Nicholas Singleton","TEN","20.3","83.6","0.6","4.3","30.1","0.2","0.1","17.6"
"","high","20.3","83.6","0.6","4.3","30.1","0.2","0.1","17.6"
"","low","20.3","83.6","0.6","4.3","30.1","0.2","0.1","17.6"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.0","0.0","0.0","17.0"
"","high","35.0","194.0","1.0","8.0","46.0","0.0","0.0","21.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"Rasheen Ali","BAL","14.6","62.0","0.4","3.5","28.4","0.2","0.1","14.2"
"","high","14.6","62.0","0.4","3.5","28.4","0.2","0.1","14.7"
"","low","14.6","62.0","0.4","3.5","28.4","0.2","0.1","14.7"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.3","0.6","0.0","14.0"
"","high","9.0","17.7","1.0","6.0","40.0","1.0","0.0","15.6"
"","low","4.3","10.0","0.1","4.2","26.7","0.2","0.0","8.4"
"DJ Giddens","IND","12.5","52.8","0.4","4.2","28.9","0.2","0.1","13.4"
"","high","12.5","52.8","0.4","4.2","28.9","0.2","0.1","13.4"
"","low","12.5","52.8","0.4","4.2","28.9","0.2","0.1","13.4"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","12.5"
"","high","1.0","8.0","0.0","5.0","35.0","2.0","0.0","15.3"
"","low","0.0","0.0","0.0","4.2","28.5","0.2","0.0","6.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"","high","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"","low","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"","high","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"","low","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.2"
"","high","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.3"
"","low","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.3"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"","high","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"","low","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"","high","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"","low","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"","high","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"","low","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"Patrick Ricard","NYG","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"","high","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"","low","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"Kaleb Johnson","GB","5.3","22.7","0.2","0.9","6.7","0.0","0.0","4.8"
"","high","5.3","22.7","0.2","0.9","6.7","0.0","0.0","4.8"
"","low","5.3","22.7","0.2","0.9","6.7","0.0","0.0","4.8"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"","high","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"","low","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Devin Singletary","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Devin Neal","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
